league,team,season,games,wins,draws,losses,goals_total,players_amount,avg_age,foreign_players_amount,team_cost_dif,total_cost,avg_res_for_game,year_of_foundation,sellouts,total_attendance,avg_attendance
La Liga,Girona FC,2022-2023,38,13,10,15,58.0,37.0,25.6,13.0,3780000.0,139900000.0,1.2894736842105263,93.0,,,
La Liga,Girona FC,2023-2024,38,25,6,7,85.0,37.0,25.6,15.0,8050000.0,297900000.0,2.1315789473684212,93.0,0.0,237885,12520
La Liga,Girona FC,2024-2025,38,11,8,19,44.0,46.0,25.1,22.0,3330000.0,153100000.0,1.0789473684210529,93.0,,,
La Liga,Granada CF,2021-2022,38,8,14,16,44.0,39.0,26.9,16.0,2660000.0,103750000.0,1.0,92.0,,,
La Liga,Granada CF,2023-2024,38,4,9,25,38.0,46.0,26.4,18.0,3070000.0,141100000.0,0.5526315789473685,92.0,,,
La Liga,Levante UD,2021-2022,38,8,11,19,51.0,42.0,26.8,12.0,1850000.0,77900000.0,0.9210526315789472,114.0,0.0,284307,14964
La Liga,RC Celta de Vigo,2021-2022,38,12,10,16,43.0,34.0,26.0,11.0,3530000.0,120000000.0,1.2105263157894737,100.0,0.0,190257,10014
La Liga,RC Celta de Vigo,2022-2023,38,11,10,17,43.0,36.0,25.7,12.0,3860000.0,138800000.0,1.131578947368421,100.0,,,
La Liga,RC Celta de Vigo,2023-2024,38,10,11,17,46.0,39.0,25.9,14.0,3830000.0,149300000.0,1.0789473684210529,100.0,0.0,380737,20039
La Liga,RC Celta de Vigo,2024-2025,38,16,7,15,59.0,36.0,26.3,12.0,3640000.0,130900000.0,1.4473684210526316,100.0,,,
La Liga,RCD Espanyol de Barcelona,2021-2022,38,10,12,16,40.0,38.0,25.9,7.0,3460000.0,131600000.0,1.105263157894737,123.0,0.0,329686,17352
La Liga,RCD Espanyol de Barcelona,2022-2023,38,8,13,17,52.0,37.0,25.9,11.0,3150000.0,116500000.0,0.9736842105263158,123.0,,,
La Liga,RCD Espanyol de Barcelona,2024-2025,38,11,9,18,40.0,37.0,25.6,10.0,3160000.0,116980000.0,1.105263157894737,123.0,,,
La Liga,RCD Mallorca,2021-2022,38,10,9,19,36.0,41.0,26.2,16.0,1810000.0,74150000.0,1.0263157894736843,107.0,0.0,242525,12764
La Liga,RCD Mallorca,2022-2023,38,14,8,16,37.0,38.0,26.9,19.0,2820000.0,107000000.0,1.3157894736842106,107.0,,,
La Liga,RCD Mallorca,2023-2024,38,8,16,14,33.0,35.0,26.9,14.0,2510000.0,87700000.0,1.0526315789473684,107.0,0.0,337577,17767
La Liga,RCD Mallorca,2024-2025,38,13,9,16,35.0,31.0,27.6,13.0,2740000.0,84880000.0,1.263157894736842,107.0,,,
La Liga,Rayo Vallecano de Madrid,2021-2022,38,11,9,18,39.0,36.0,26.7,14.0,1870000.0,67200000.0,1.105263157894737,99.0,0.0,150471,7920
La Liga,Rayo Vallecano de Madrid,2022-2023,38,13,10,15,45.0,29.0,28.7,10.0,3570000.0,103400000.0,1.2894736842105263,99.0,,,
La Liga,Rayo Vallecano de Madrid,2023-2024,38,8,14,16,29.0,30.0,28.9,12.0,2130000.0,63950000.0,1.0,99.0,0.0,242409,12758
La Liga,Rayo Vallecano de Madrid,2024-2025,38,13,13,12,41.0,34.0,28.3,11.0,2000000.0,68000000.0,1.368421052631579,99.0,,,
La Liga,Real Betis Balompié,2021-2022,38,19,8,11,62.0,38.0,27.9,13.0,6820000.0,259000000.0,1.7105263157894737,116.0,0.0,792593,41715
La Liga,Real Betis Balompié,2022-2023,38,17,9,12,46.0,38.0,27.6,13.0,6480000.0,246400000.0,1.5789473684210529,116.0,,,
La Liga,Real Betis Balompié,2023-2024,38,14,15,9,48.0,42.0,27.0,22.0,5350000.0,224880000.0,1.5,116.0,0.0,973914,51259
La Liga,Real Betis Balompié,2024-2025,38,16,12,10,57.0,46.0,26.0,19.0,6340000.0,291700000.0,1.5789473684210529,116.0,,,
La Liga,Real Madrid CF,2021-2022,38,26,8,4,80.0,36.0,26.3,19.0,21410000.0,770750000.0,2.263157894736842,121.0,0.0,784774,41304
La Liga,Real Madrid CF,2022-2023,38,24,6,8,75.0,36.0,25.9,20.0,25650000.0,923450000.0,2.0526315789473686,121.0,,,
La Liga,Real Madrid CF,2023-2024,38,29,8,1,87.0,37.0,25.6,21.0,30680000.0,1140000000.0,2.5,121.0,0.0,1369162,72061
La Liga,Real Madrid CF,2024-2025,38,26,6,6,78.0,42.0,24.4,19.0,32110000.0,1350000000.0,2.210526315789474,121.0,,,
La Liga,Real Sociedad de Fútbol,2021-2022,38,17,11,10,40.0,40.0,25.2,7.0,9420000.0,376950000.0,1.631578947368421,114.0,0.0,509445,26813
La Liga,Real Sociedad de Fútbol,2022-2023,38,21,8,9,51.0,37.0,25.0,6.0,11940000.0,441700000.0,1.868421052631579,114.0,,,
La Liga,Real Sociedad de Fútbol,2023-2024,38,16,12,10,51.0,40.0,25.2,10.0,12460000.0,498500000.0,1.5789473684210529,114.0,0.0,602489,31710
La Liga,Real Sociedad de Fútbol,2024-2025,38,13,7,18,35.0,39.0,24.6,9.0,8850000.0,345050000.0,1.2105263157894737,114.0,,,
La Liga,Real Valladolid CF,2022-2023,38,11,7,20,33.0,41.0,26.8,18.0,2210000.0,90750000.0,1.0526315789473684,95.0,,,
La Liga,Real Valladolid CF,2024-2025,38,4,4,30,26.0,43.0,25.4,23.0,1890000.0,81450000.0,0.4210526315789473,95.0,,,
La Liga,Sevilla FC,2021-2022,38,18,16,4,53.0,43.0,26.2,21.0,8950000.0,385000000.0,1.8421052631578947,118.0,0.0,565355,29756
La Liga,Sevilla FC,2022-2023,38,13,10,15,47.0,42.0,26.8,23.0,5540000.0,232580000.0,1.2894736842105263,118.0,,,
La Liga,Sevilla FC,2023-2024,38,10,11,17,48.0,49.0,26.7,27.0,4670000.0,228750000.0,1.0789473684210529,118.0,0.0,674364,35493
La Liga,Sevilla FC,2024-2025,38,10,11,17,42.0,44.0,25.2,19.0,4180000.0,183900000.0,1.0789473684210529,118.0,,,
La Liga,UD Almería,2022-2023,38,11,8,19,49.0,36.0,25.9,18.0,3170000.0,114200000.0,1.0789473684210529,34.0,,,
La Liga,UD Almería,2023-2024,38,3,12,23,43.0,41.0,25.3,22.0,2420000.0,99400000.0,0.5526315789473685,34.0,,,
La Liga,UD Las Palmas,2023-2024,38,10,10,18,33.0,35.0,26.2,11.0,3210000.0,112400000.0,1.0526315789473684,74.0,,,
La Liga,UD Las Palmas,2024-2025,38,8,8,22,40.0,42.0,25.4,15.0,2790000.0,117300000.0,0.8421052631578947,74.0,,,
La Liga,Valencia CF,2021-2022,38,11,15,12,48.0,44.0,24.1,20.0,7060000.0,310600000.0,1.263157894736842,104.0,0.0,519638,27349
La Liga,Valencia CF,2022-2023,38,11,9,18,42.0,40.0,24.5,18.0,6240000.0,249780000.0,1.105263157894737,104.0,,,
La Liga,Valencia CF,2023-2024,38,13,10,15,40.0,36.0,23.8,11.0,6800000.0,244730000.0,1.2894736842105263,104.0,0.0,824974,43420
La Liga,Valencia CF,2024-2025,38,11,13,14,44.0,44.0,24.5,13.0,4900000.0,215550000.0,1.2105263157894737,104.0,,,
La Liga,Villarreal CF,2021-2022,38,16,11,11,63.0,39.0,26.5,15.0,10480000.0,408900000.0,1.5526315789473684,100.0,0.0,271570,14293
La Liga,Villarreal CF,2022-2023,38,19,7,12,59.0,43.0,26.4,15.0,8450000.0,363500000.0,1.6842105263157894,100.0,,,
La Liga,Villarreal CF,2023-2024,38,14,11,13,65.0,39.0,27.2,15.0,6470000.0,252500000.0,1.394736842105263,100.0,0.0,341190,17957
La Liga,Villarreal CF,2024-2025,38,20,10,8,71.0,36.0,26.2,16.0,7340000.0,264250000.0,1.8421052631578947,100.0,,,
Liga Portugal,AVS Futebol,2024-2025,34,5,12,17,25.0,35.0,28.3,26.0,591000.0,20700000.0,0.7941176470588235,0.0,,,
Liga Portugal,Boavista FC,2021-2022,34,7,17,10,39.0,39.0,24.6,22.0,996000.0,38850000.0,1.1176470588235294,120.0,,,
Liga Portugal,Boavista FC,2022-2023,34,12,8,14,43.0,34.0,25.2,21.0,849000.0,28850000.0,1.2941176470588236,120.0,,,
Liga Portugal,Boavista FC,2022-2023,34,12,8,14,43.0,32.0,26.8,23.0,555000.0,17750000.0,1.2941176470588236,120.0,,,
Liga Portugal,Boavista FC,2023-2024,34,7,11,16,39.0,29.0,24.9,16.0,1030000.0,30000000.0,0.9411764705882352,120.0,,,
Liga Portugal,Boavista FC,2023-2024,34,7,11,16,39.0,36.0,26.8,20.0,522000.0,18800000.0,0.9411764705882352,120.0,,,
Liga Portugal,Boavista FC,2024-2025,34,6,6,22,24.0,36.0,26.4,20.0,511000.0,18400000.0,0.7058823529411765,120.0,,,
Liga Portugal,CD Nacional,2024-2025,34,9,7,18,32.0,34.0,26.7,23.0,646000.0,21980000.0,1.0,113.0,,,
Liga Portugal,CD Santa Clara,2021-2022,34,9,13,12,38.0,33.0,27.0,22.0,927000.0,30600000.0,1.1764705882352942,102.0,0.0,21292,1252
Liga Portugal,CD Santa Clara,2022-2023,34,5,7,22,26.0,40.0,26.5,25.0,593000.0,23700000.0,0.6470588235294118,102.0,,,
Liga Portugal,CD Santa Clara,2024-2025,34,17,6,11,36.0,37.0,25.3,26.0,1150000.0,42500000.0,1.6764705882352942,102.0,,,
Liga Portugal,CD Tondela,2021-2022,34,7,7,20,41.0,37.0,24.5,22.0,590000.0,21830000.0,0.8235294117647058,90.0,0.0,29357,1727
Liga Portugal,CD Tondela,2021-2022,34,7,7,20,41.0,50.0,25.1,27.0,1460000.0,73200000.0,0.8235294117647058,90.0,0.0,29357,1727
Liga Portugal,CF Estrela da Amadora,2023-2024,34,7,12,15,33.0,42.0,26.5,27.0,466000.0,19580000.0,0.9705882352941176,3.0,0.0,74847,4403
Liga Portugal,CF Estrela da Amadora,2024-2025,34,7,8,19,24.0,45.0,25.4,28.0,582000.0,26200000.0,0.8529411764705882,3.0,,,
Liga Portugal,CS Marítimo,2021-2022,34,9,11,14,39.0,33.0,26.4,22.0,488000.0,16100000.0,1.1176470588235294,113.0,,,
Liga Portugal,CS Marítimo,2022-2023,34,7,5,22,32.0,47.0,25.8,31.0,352000.0,16530000.0,0.7647058823529411,113.0,,,
Liga Portugal,Casa Pia AC,2022-2023,34,11,8,15,31.0,33.0,27.1,24.0,524000.0,17300000.0,1.2058823529411764,103.0,,,
Liga Portugal,Casa Pia AC,2023-2024,34,10,8,16,38.0,37.0,26.6,21.0,626000.0,23180000.0,1.1176470588235294,103.0,1.0,45173,2657
Liga Portugal,Casa Pia AC,2024-2025,34,12,9,13,39.0,34.0,26.4,22.0,963000.0,32750000.0,1.3235294117647058,103.0,,,
Liga Portugal,Estoril Praia,2021-2022,34,9,12,13,36.0,46.0,24.1,26.0,788000.0,36230000.0,1.1470588235294117,84.0,0.0,24143,1420
Liga Portugal,Estoril Praia,2022-2023,34,10,5,19,33.0,39.0,24.5,22.0,927000.0,36150000.0,1.0294117647058822,84.0,,,
Liga Portugal,Estoril Praia,2023-2024,34,9,6,19,49.0,39.0,24.8,27.0,1450000.0,56650000.0,0.9705882352941176,84.0,1.0,53085,3123
Liga Portugal,Estoril Praia,2024-2025,34,12,10,12,48.0,37.0,24.6,23.0,1200000.0,44500000.0,1.3529411764705883,84.0,,,
Liga Portugal,FC Arouca,2021-2022,34,7,10,17,30.0,37.0,27.8,29.0,454000.0,16800000.0,0.9117647058823528,72.0,0.0,23968,1410
Liga Portugal,FC Arouca,2022-2023,34,15,9,10,36.0,30.0,26.7,24.0,700000.0,21000000.0,1.588235294117647,72.0,,,
Liga Portugal,FC Arouca,2023-2024,34,13,7,14,54.0,31.0,26.6,25.0,1420000.0,44100000.0,1.3529411764705883,72.0,0.0,33067,1945
Liga Portugal,FC Arouca,2024-2025,34,9,11,14,35.0,32.0,26.5,23.0,1170000.0,37380000.0,1.1176470588235294,72.0,,,
Liga Portugal,FC Famalicão,2021-2022,34,9,12,13,45.0,46.0,23.8,32.0,1480000.0,67850000.0,1.1470588235294117,92.0,0.0,54543,3208
Liga Portugal,FC Famalicão,2022-2023,34,13,5,16,39.0,39.0,24.7,26.0,1330000.0,51850000.0,1.2941176470588236,92.0,,,
Liga Portugal,FC Famalicão,2023-2024,34,10,12,12,37.0,38.0,23.5,23.0,1910000.0,72750000.0,1.2352941176470589,92.0,0.0,65567,3857
Liga Portugal,FC Famalicão,2024-2025,34,12,11,11,44.0,37.0,24.2,24.0,2600000.0,96050000.0,1.3823529411764706,92.0,,,
Liga Portugal,FC Paços de Ferreira,2021-2022,34,9,11,14,29.0,37.0,25.4,20.0,703000.0,26000000.0,1.1176470588235294,73.0,,,
Liga Portugal,FC Paços de Ferreira,2022-2023,34,6,5,23,26.0,38.0,25.7,20.0,740000.0,28130000.0,0.6764705882352942,73.0,,,
Liga Portugal,FC Porto,2021-2022,34,29,4,1,86.0,40.0,26.0,20.0,10090000.0,403580000.0,2.676470588235294,130.0,0.0,529149,31126
Liga Portugal,FC Porto,2022-2023,34,27,4,3,73.0,33.0,26.9,20.0,8620000.0,284550000.0,2.5,130.0,,,
